ACCIDENT_NO,SEVERITY,LGA_NAME,LATITUDE,LONGITUDE
T20140012639,severe,stonnington,-37.84835,144.993895
T20140012641,severe,casey,-38.1764,145.315172
T20140012645,severe,boroondara,-37.850216,145.09381
T20140012650,severe,knox,-37.899031,145.23328
T20140012653,severe,kingston,-37.984504,145.091959
T20140021023,severe,kingston,-37.994083,145.1123
T20140012656,severe,moreland,-37.708157,144.916516
T20140012657,severe,knox,-37.89836,145.232889
T20140012687,severe,knox,-37.925026,145.285436
T20140012688,severe,port phillip,-37.859001,144.983987
T20140012698,severe,darebin,-37.760681,144.993181
T20140012724,severe,hume,-37.643271,144.96229
T20140012723,severe,melbourne,-37.817121,144.961668
T20140012718,severe,melbourne,-37.824954,144.97088
T20140012711,severe,melbourne,-37.795433,144.938871
T20140012946,severe,port phillip,-37.867362,145.00732
T20140012709,severe,kingston,-38.026468,145.132497
T20140012667,severe,casey,-37.998887,145.282491
T20140012708,severe,monash,-37.8564,145.116359
T20140012677,severe,boroondara,-37.815814,145.046296
T20140012701,severe,hume,-37.687212,144.93559
T20140018177,severe,melbourne,-37.81749,144.967312
T20140012746,severe,moonee valley,-37.78875,144.936052
T20140014105,severe,moonee valley,-37.725715,144.890742
T20140012775,severe,casey,-38.07477,145.335573
T20140012774,severe,moreland,-37.75743,144.945109
T20140012798,severe,melbourne,-37.831946,144.902183
T20140012773,severe,melbourne,-37.81777,144.932948
T20140012803,severe,boroondara,-37.798371,145.098145
T20140012876,severe,boroondara,-37.82253,145.04995
T20140013244,severe,boroondara,-37.850241,145.094034
T20140012794,severe,whitehorse,-37.82705,145.118892
T20140012920,severe,melbourne,-37.8206,144.961388
T20140012765,severe,maribyrnong,-37.823791,144.881373
T20140014999,severe,cardinia,-37.881728,145.559161
T20140012859,severe,port phillip,-37.86826,144.981012
T20140012763,severe,moonee valley,-37.758098,144.926459
T20140012889,severe,casey,-38.103366,145.325528
T20140013059,severe,melbourne,-37.813004,144.959789
T20140012799,severe,melbourne,-37.82579,144.93641
T20140012757,severe,brimbank,-37.708115,144.877735
T20140012793,severe,stonnington,-37.83777,144.995969
T20140012800,severe,port phillip,-37.868362,144.979551
T20140013028,severe,boroondara,-37.792877,145.06784
T20140012751,severe,port phillip,-37.833671,144.968459
T20140014810,severe,monash,-37.880991,145.118625
T20140012814,severe,moreland,-37.76414,144.962618
T20140012869,severe,moreland,-37.71788,144.92756
T20140013827,severe,knox,-37.902265,145.235091
T20140012950,severe,moreland,-37.707542,144.92161
T20140012847,severe,darebin,-37.745978,145.01884
T20140012842,severe,moreland,-37.70095,144.932088
T20140013230,severe,hume,-37.512506,144.658821
T20140012834,severe,yarra,-37.798515,144.980125
T20140012825,severe,yarra,-37.79709,144.984593
T20140012904,severe,whitehorse,-37.826979,145.136943
T20140012914,severe,melbourne,-37.827981,144.965994
T20140012883,severe,port phillip,-37.830063,144.945106
T20140012948,severe,boroondara,-37.816158,145.0492
T20140012990,severe,kingston,-37.949117,145.045999
T20140012895,severe,moonee valley,-37.75356,144.886123
T20140012951,severe,brimbank,-37.726055,144.768481
T20140012892,severe,knox,-37.873198,145.247831
T20140012890,severe,melbourne,-37.825349,144.957045
T20140012886,severe,monash,-37.909511,145.127161
T20140012885,severe,brimbank,-37.805994,144.820609
T20140012924,severe,casey,-38.114865,145.296521
T20140012919,severe,melbourne,-37.818359,144.962234
T20140012927,severe,moreland,-37.734276,144.967865
T20140012928,severe,monash,-37.87954,145.163944
T20140012934,severe,kingston,-38.070503,145.143709
T20140012936,severe,kingston,-38.047949,145.113863
T20140018051,severe,brimbank,-37.743858,144.843479
T20140012937,severe,melbourne,-37.828428,144.95742
T20140012909,severe,cardinia,-38.060377,145.493826
T20140013829,severe,casey,-37.9994,145.298343
T20140012965,severe,monash,-37.880735,145.129249
T20140013282,severe,knox,-37.89759,145.24285
T20140012980,severe,knox,-37.864349,145.264828
T20140014548,severe,casey,-38.1154,145.28479
T20140013009,severe,boroondara,-37.803512,145.08331
T20140013911,severe,melbourne,-37.794197,144.928031
T20140012962,severe,whitehorse,-37.82681,145.136976
T20140012960,severe,monash,-37.899607,145.12922
T20140013052,severe,monash,-37.915409,145.168361
T20140012957,severe,casey,-38.078148,145.24408
T20140015116,severe,kingston,-37.986615,145.10925
T20140013031,severe,darebin,-37.725254,145.02323
T20140013024,severe,kingston,-38.005859,145.085743
T20140013012,severe,boroondara,-37.788881,145.102353
T20140013008,severe,melbourne,-37.794418,144.914628
T20140013832,severe,casey,-38.068557,145.336752
T20140012999,severe,kingston,-37.949398,145.05067
T20140013073,severe,moonee valley,-37.788856,144.93704
T20140013107,severe,melbourne,-37.800301,144.943978
T20140013069,severe,darebin,-37.71699,145.004207
T20140013051,severe,moreland,-37.73768,144.93308
T20140013045,severe,manningham,-37.776062,145.078676
T20140013040,severe,melbourne,-37.79332,144.964608
T20140013034,severe,melbourne,-37.817502,144.967271
T20140013100,severe,darebin,-37.715195,144.995459
T20140013098,severe,melbourne,-37.818908,144.951333
T20140013090,severe,hume,-37.648099,144.942114
T20140013086,severe,melbourne,-37.815781,144.972276
T20140013079,severe,maribyrnong,-37.805829,144.88481
T20140014585,severe,kingston,-37.923998,145.082476
T20140013084,severe,yarra,-37.807878,144.97468
T20140014737,severe,monash,-37.884555,145.126081
T20140013134,severe,monash,-37.871478,145.142213
T20140013204,severe,boroondara,-37.814852,145.098043
T20140013137,severe,moreland,-37.707027,144.916314
T20140013831,severe,whitehorse,-37.843001,145.096939
T20140013058,severe,melbourne,-37.813298,144.988375
T20140013433,severe,brimbank,-37.719536,144.827668
T20140017238,severe,moreland,-37.758534,144.963589
T20140013113,severe,knox,-37.928869,145.265122
T20140013284,severe,whitehorse,-37.819648,145.138537
T20140013908,severe,moreland,-37.739678,144.950054
T20140013133,severe,yarra,-37.823895,144.998252
T20140013136,severe,melbourne,-37.79358,144.93922
T20140017372,severe,monash,-37.933519,145.190401
T20140013182,severe,whitehorse,-37.80659,145.158584
T20140013148,severe,cardinia,-38.15631,145.554332
T20140013173,severe,stonnington,-37.861262,145.01971
T20140014322,severe,monash,-37.906253,145.184944
T20140013142,severe,casey,-37.967711,145.235178
T20140013205,severe,brimbank,-37.760257,144.811281
T20140013147,severe,kingston,-38.05426,145.117562
T20140013477,severe,casey,-38.113035,145.282785
T20140013225,severe,whitehorse,-37.833754,145.164297
T20140013548,severe,kingston,-37.985399,145.059969
T20140013227,severe,manningham,-37.741141,145.135858
T20140014035,severe,monash,-37.92595,145.1809
T20140013528,severe,brimbank,-37.731631,144.854601
T20150015288,severe,moonee valley,-37.73366,144.92434
T20140015102,severe,casey,-38.118743,145.327163
T20140013233,severe,casey,-38.038796,145.321428
T20140013273,severe,maribyrnong,-37.808469,144.903008
T20140013270,severe,whitehorse,-37.85639,145.151294
T20140013268,severe,hume,-37.596838,144.921876
T20140013266,severe,darebin,-37.71299,145.008221
T20140013264,severe,maribyrnong,-37.810107,144.859591
T20140013262,severe,moonee valley,-37.714759,144.881979
T20140013259,severe,boroondara,-37.850022,145.09205
T20140013255,severe,monash,-37.898778,145.121885
T20140016308,severe,kingston,-38.020893,145.123036
T20140013254,severe,knox,-37.86068,145.286403
T20140013252,severe,monash,-37.92621,145.142628
T20140013251,severe,melbourne,-37.81849,144.932671
T20140013422,severe,brimbank,-37.7091,144.887259
T20140015311,severe,moreland,-37.766562,144.97262
T20140013248,severe,stonnington,-37.84861,144.984529
T20140013247,severe,darebin,-37.717524,145.021627
T20140013213,severe,monash,-37.913973,145.121876
T20140013228,severe,stonnington,-37.840719,145.00576
T20140013358,severe,whitehorse,-37.857816,145.192091
T20140013354,severe,hume,-37.52044,144.68642
T20140013556,severe,brimbank,-37.754599,144.807737
T20140013580,severe,darebin,-37.716743,145.007809
T20140014036,severe,brimbank,-37.73115,144.781428
T20140013295,severe,yarra,-37.78988,144.971816
T20140013434,severe,casey,-38.08862,145.256487
T20140013276,severe,melbourne,-37.795433,144.938871
T20140013298,severe,casey,-38.01862,145.307823
T20140014612,severe,casey,-38.025246,145.305293
T20140013608,severe,port phillip,-37.867529,144.98393
T20140013492,severe,port phillip,-37.86493,144.981629
T20140013344,severe,kingston,-37.990217,145.138751
T20150009048,severe,brimbank,-37.778451,144.840444
T20140013332,severe,melbourne,-37.810127,144.969656
T20140013330,severe,knox,-37.900446,145.29213
T20140013324,severe,yarra,-37.802384,144.998134
T20140013320,severe,kingston,-38.025881,145.133047
